relative_position_mm,lambdaA_Wb,lambdaB_Wb,lambdaC_Wb,dLA_dx_Wb_per_m,dLB_dx_Wb_per_m,dLC_dx_Wb_per_m,KF_unit_N,IA_norm,IB_norm,IC_norm
-20.000000,0.00680574247307,-0.00627542969334,4.20154841109e-005,-0.903157676182,-0.764224541337,2.11359820382,2.4084560897,-0.436751304199,-0.379065745621,0.81581704982
-19.750000,0.00657995305402,-0.00646648582868,0.000570415035066,-0.962361933739,-0.708968918852,2.10798133914,2.41014692424,-0.459686538102,-0.354550617823,0.814237155925
-19.500000,0.0063245615062,-0.00662991415277,0.00109600615368,-1.06903795118,-0.597523702434,2.08619668144,2.40694733168,-0.502261216054,-0.306364013594,0.808625229648
-19.250000,0.00604543407843,-0.00676524767989,0.00161351337579,-1.17952568369,-0.493618242636,2.04808020134,2.40472727123,-0.542475006476,-0.257242061658,0.799717068133
-19.000000,0.00573479866435,-0.00687672327409,0.00212004625435,-1.28830904551,-0.396921271662,1.98956351017,2.39682639259,-0.579830665865,-0.207927312078,0.787757977944
-18.750000,0.00540127955568,-0.00696370831572,0.00260829513087,-1.39679893696,-0.299123890232,1.92270034947,2.39168482964,-0.615629378144,-0.15667465588,0.772304034025
-18.500000,0.00503639919587,-0.0070262852192,0.00308139642909,-1.50951208074,-0.199837679274,1.84433226502,2.39040789369,-0.650310038375,-0.10242262346,0.752732661835
-18.250000,0.00464652351531,-0.00706362715536,0.00353046126338,-1.61045870899,-0.106598504149,1.75921956762,2.38730002866,-0.68048121629,-0.0505393628199,0.73102057911
-18.000000,0.00423116984137,-0.00707958447128,0.0039610062129,-1.71374037098,-0.016914195917,1.66843839015,2.39156612425,-0.707905011796,0.00159917370841,0.706305838088
-17.750000,0.00378965332981,-0.00707208425332,0.00436468045846,-1.80279585623,0.0838911033323,1.55868118216,2.38286391691,-0.734153548132,0.0576193039277,0.676534244204
-17.500000,0.00332977191326,-0.00703763891961,0.00474034680398,-1.89328182577,0.177098642414,1.4513624916,2.38724871279,-0.756103983713,0.11116236231,0.644941621403
-17.250000,0.00284301241693,-0.00698353493211,0.00509036170426,-1.97163700435,0.268970723331,1.3412891706,2.39065330558,-0.774339785375,0.162896794458,0.611442990917
-17.000000,0.00234395341108,-0.00690315355794,0.00541099138928,-2.03494444811,0.370244891433,1.2313752943,2.39411263934,-0.789646650812,0.214979990402,0.574666660411
-16.750000,0.00182554019287,-0.0067984124864,0.00570604935141,-2.09041416698,0.476755281518,1.11275597257,2.39827401821,-0.802012828704,0.268410913123,0.53360191558
-16.500000,0.00129874632759,-0.00666477591718,0.00596736937556,-2.12265671519,0.571953762977,1.01052895986,2.39931422888,-0.809647479416,0.313427791731,0.496219687685
-16.250000,0.000764211835278,-0.00651243560491,0.00621131383134,-2.14626053603,0.673184802195,0.900981277768,2.40047536413,-0.814656302345,0.359879950084,0.454776352262
-16.000000,0.000225616059573,-0.00632818351609,0.00641786001445,-2.15925941276,0.783441798166,0.776532109582,2.39988958241,-0.816494888815,0.409687029094,0.406807859721
-15.750000,-0.000315417871102,-0.00612071470582,0.00659957988613,-2.14901129423,0.883712038594,0.684776709611,2.39912070902,-0.815091867424,0.449005983687,0.366085883737
-15.500000,-0.000848889587542,-0.00588632749679,0.00676024836925,-2.12121266294,1.00239900024,0.57720858234,2.39577502637,-0.810041683714,0.493758393009,0.316283290705
-15.250000,-0.00137602420257,-0.0056195152057,0.0068881841773,-2.08118323377,1.1161137692,0.470950043918,2.391117495,-0.801498363935,0.535657593333,0.265840770602
-15.000000,-0.00188948120443,-0.00532827061219,0.00699572339121,-2.02347988524,1.22666683011,0.381657788493,2.38482572258,-0.790453901309,0.572390638889,0.218063262421
-14.750000,-0.00238776414519,-0.00500618179065,0.00707901307155,-1.96181447091,1.33924863066,0.281167948996,2.38380105892,-0.775238842568,0.609550835758,0.16568800681
-14.500000,-0.00287038843988,-0.00465864629686,0.00713630736571,-1.88214365636,1.44851374065,0.182047306868,2.37754076424,-0.756362546458,0.644520856725,0.111841689733
-14.250000,-0.00332883597337,-0.00428192492032,0.00717003672498,-1.78724920454,1.55635350111,0.088089208978,2.37011766586,-0.733991845546,0.676740943724,0.0572509018225
