relative_position_mm,lambdaA_Wb,lambdaB_Wb,lambdaC_Wb,dLA_dx_Wb_per_m,dLB_dx_Wb_per_m,dLC_dx_Wb_per_m,KF_unit_N,IA_norm,IB_norm,IC_norm
-20.000000,0.00708345408388,-0.00657443972458,3.91845140118e-005,-0.920302542273,-0.764457847498,2.24830427372,2.52593826279,-0.438708467231,-0.37701072225,0.815719189481
-19.750000,0.00685337844831,-0.00676555418645,0.000601260582442,-0.975085483963,-0.713149889772,2.23625190052,2.52192181831,-0.459077538071,-0.355214050991,0.814291589062
-19.500000,0.0065959113419,-0.00693101466947,0.00115731046427,-1.08526841671,-0.604227560762,2.21239008293,2.51921196912,-0.499984307513,-0.309035367194,0.809019674707
-19.250000,0.00631074423996,-0.00706766796684,0.00170745562391,-1.20127300059,-0.496267940304,2.16547178106,2.51109942084,-0.540500282882,-0.259744748301,0.800245031184
-19.000000,0.00599527484161,-0.00717914863962,0.0022400463548,-1.31579393344,-0.399169546471,2.10334820413,2.50288688756,-0.577435406835,-0.211208554344,0.788643961179
-18.750000,0.00565284727324,-0.00726725274007,0.00275912972597,-1.43918783551,-0.301757227896,2.0262775525,2.49819566097,-0.614162729198,-0.158861879313,0.773024608512
-18.500000,0.00527568092385,-0.00733002725357,0.00325318513105,-1.56234627822,-0.201231968263,1.94142195993,2.49799852465,-0.649170726097,-0.104288774996,0.753459501094
-18.250000,0.00487167413413,-0.0073678687242,0.00372984070593,-1.67230148122,-0.109444478866,1.8507154012,2.49642389023,-0.679087915143,-0.0530496015069,0.73213751665
-18.000000,0.00443953018324,-0.007384749493,0.00417854283165,-1.78079516705,-0.0112004717354,1.74086990405,2.49020352986,-0.708276746989,0.00234576803592,0.705930978954
-17.750000,0.0039812765506,-0.00737346896007,0.00460027565796,-1.8864309408,0.084883865678,1.62624248807,2.49002965759,-0.734126227325,0.0575570365571,0.676569190768
-17.500000,0.00349631471284,-0.00734230756016,0.00499166407569,-1.98704789131,0.175681833578,1.50171536919,2.49046407243,-0.75641765564,0.111986650538,0.644431005102
-17.250000,0.00298775260495,-0.00728562804328,0.00535113334255,-2.07301617468,0.277323230188,1.38506128301,2.49729711322,-0.775293794212,0.165859500052,0.60943429416
-17.000000,0.0024598066255,-0.00720364594507,0.00568419471719,-2.14204624536,0.375224210436,1.2625290854,2.49767182736,-0.790315434516,0.217531324303,0.572784110213
-16.750000,0.00191672948227,-0.00709801593806,0.00598239788525,-2.20916897823,0.471143177803,1.13882869986,2.50592402536,-0.801874514566,0.267715835704,0.534158678862
-16.500000,0.00135522213638,-0.00696807435616,0.00625360906712,-2.25273749531,0.573645334411,1.02912840835,2.51439512543,-0.809770465482,0.314310153803,0.495460311679
-16.250000,0.000790360734616,-0.00681119327086,0.00649696208942,-2.27485740654,0.685241364602,0.907165686734,2.51241624111,-0.814902372188,0.363285669548,0.45161670264
-16.000000,0.000217793433113,-0.00662545367386,0.00670719191049,-2.2827138367,0.790874412814,0.800651589798,2.5135753204,-0.816493492494,0.406301871768,0.410191620726
-15.750000,-0.000350996183733,-0.00641575606445,0.00689728788432,-2.27101535209,0.904817617213,0.698725316656,2.51314867082,-0.815122706351,0.448564160321,0.366558546029
-15.500000,-0.000917714242934,-0.00617304486526,0.00705655456881,-2.24859821454,1.02436396504,0.579528009011,2.51054166752,-0.810062689135,0.493624965973,0.316437723162
-15.250000,-0.001475295291,-0.00590357408193,0.00718705188883,-2.20002337837,1.13846664494,0.47346591301,2.49901891418,-0.801911939731,0.534008330566,0.267903609165
-15.000000,-0.00201772593212,-0.00560381154279,0.00729328752532,-2.14151514595,1.2612530162,0.381634569036,2.49792208727,-0.790779652061,0.571459858728,0.219319793333
-14.750000,-0.00254605286398,-0.00527294757383,0.00737786917335,-2.06282451387,1.3829044757,0.286641244818,2.48963388823,-0.775909900604,0.608120500761,0.167789399843
-14.500000,-0.00304913818905,-0.00491235930493,0.00743660814773,-1.97428480759,1.50646364141,0.181057474057,2.48447255467,-0.756175352666,0.644825613297,0.111349739369
-14.250000,-0.00353319526778,-0.00451971575312,0.00746839791037,-1.87536049845,1.62427255702,0.0869192797474,2.48068730732,-0.733924669125,0.676826716248,0.0570979528771
-14.000000,-0.00398681843828,-0.00410022302642,0.0074800677876,-1.76819632257,1.73446807258,-0.000797013584037,2.47679248907,-0.709259216963,0.704934507626,0.00432470933753
-13.750000,-0.00441729342906,-0.00365248171683,0.00746799940358,-1.65279939796,1.8419390821,-0.096768736075,2.47608672902,-0.679939718688,0.731456109694,-0.0515163910057
-13.500000,-0.00481321813726,-0.00317925348537,0.00743168341956,-1.53245948382,1.9365098984,-0.197413076117,2.47451845462,-0.647131401932,0.754745143281,-0.107613741348
-13.250000,-0.00518352317097,-0.00268422676763,0.00736929286552,-1.41801800125,2.02882306677,-0.290481804476,2.48537229331,-0.613506646753,0.773344360359,-0.159837713606
-13.000000,-0.00552222713789,-0.00216484195199,0.00728644251733,-1.29035701403,2.11019769198,-0.386082136246,2.49084311991,-0.576087342928,0.789135010432,-0.213047667504
-12.750000,-0.00582870167799,-0.00162912792164,0.0071762517974,-1.16803601436,2.16753687167,-0.486219860099,2.49221083496,-0.537326000399,0.801073158791,-0.263747158392
-12.500000,-0.00610624514507,-0.00108107351615,0.00704333258728,-1.05127548296,2.20986944293,-0.585303030595,2.49433930535,-0.498076767963,0.809341560763,-0.3112647928
-12.250000,-0.00635433941946,-0.000524193200177,0.0068836002821,-0.934438723499,2.23745410919,-0.692415653173,2.49690582743,-0.455752858267,0.814576522142,-0.358823663875
-12.000000,-0.00657346450682,3.76535384438e-005,0.00669712476069,-0.816545953148,2.24875957371,-0.803028452478,2.49731127766,-0.410951711022,0.816490600346,-0.405538889324
-11.750000,-0.00676261239604,0.000600186586679,0.00648208605586,-0.711013833303,2.23534105095,-0.91862493067,2.49476858546,-0.365931574155,0.815081727612,-0.449150153456
-11.500000,-0.00692897142347,0.00115532406392,0.00623781229535,-0.606702995252,2.21254154108,-1.02946185884,2.49248543008,-0.320494775191,0.810602924442,-0.490108149251
-11.250000,-0.00706596389366,0.00170645735722,0.00596735512644,-0.496952099524,2.16789575677,-1.15110660442,2.4863030713,-0.26956935575,0.802241996234,-0.532672640483
-11.000000,-0.00717744747323,0.00223927194231,0.00566225899314,-0.401115681643,2.10253581232,-1.27065741639,2.47674559251,-0.219927010154,0.79093639929,-0.571009389137
-10.750000,-0.00726652173449,0.00275772526338,0.00533202641825,-0.300724803591,2.02835272026,-1.39180784783,2.47066540518,-0.167025784095,0.775666625394,-0.608640841299
-10.500000,-0.00732780987503,0.00325344830244,0.00496635506923,-0.200441993316,1.94066994369,-1.51712006587,2.46808381974,-0.111346011004,0.756173932964,-0.64482792196
-10.250000,-0.00736674273114,0.00372806023523,0.00457346638531,-0.112854342221,1.84743417065,-1.62825057479,2.46438235974,-0.0601763059128,0.735271894371,-0.675095588458
-10.000000,-0.00738423704614,0.00417716538776,0.00415222978183,-0.0112783305607,1.74235451513,-1.74069456518,2.46290746652,-0.00327750993424,0.708739839287,-0.705462329353
-9.750000,-0.00737238189642,0.00459923749279,0.00370311910272,0.0838900011339,1.62548222192,-1.84999090542,2.46274341571,0.0530964348216,0.679061856537,-0.732158291359
-9.500000,-0.00734229204557,0.00498990649872,0.00322723432912,0.173144213959,1.50240357937,-1.94866675765,2.46163216389,0.107320611344,0.64731167293,-0.754632284274
-9.250000,-0.00728580978944,0.00535043928248,0.00272878572389,0.277525203458,1.38612167198,-2.04148232003,2.47354341988,0.163114319487,0.611295847094,-0.774410166581
-9.000000,-0.00720352944384,0.00568296733471,0.00220649316911,0.375238418632,1.26242933396,-2.11387147942,2.47535741442,0.215715512892,0.574124730956,-0.789840243848
-8.750000,-0.00709819058013,0.00598165394946,0.00167184998418,0.471394855411,1.14096227098,-2.17125973452,2.4767423779,0.265548702464,0.535890673249,-0.801439375713
-8.500000,-0.00696783201613,0.0062534484702,0.00112086330185,0.573649673043,1.02900056714,-2.21765105282,2.48592376662,0.313223580859,0.496395285563,-0.809618866421
-8.250000,-0.00681136574361,0.00649615423303,0.000563024457772,0.68571098393,0.908178398301,-2.2450638486,2.4887660622,0.362737644609,0.452126284928,-0.814863929537
-8.000000,-0.00662497652417,0.00670753766935,-1.66862245478e-006,0.790328175635,0.801468263318,-2.25313820254,2.48954027603,0.406008868343,0.410483625305,-0.816492493648
-7.750000,-0.00641620165579,0.00689688836469,-0.000563544643497,0.902443287922,0.697613951771,-2.24151195069,2.48762742855,0.448725364622,0.366386130941,-0.815111495563
-7.500000,-0.00617375488021,0.00705634464524,-0.0011224245978,1.02417797532,0.580739211413,-2.22386636205,2.49079922766,0.494015877887,0.315985164298,-0.810001042184
-7.250000,-0.00590411266813,0.00718725797039,-0.00167547782452,1.13942653983,0.475441307773,-2.17091723405,2.47672268812,0.534890862698,0.266800601629,-0.801691464326
-7.000000,-0.0056040416103,0.00729406529913,-0.00220788321482,1.26010710644,0.381342088472,-2.10934269968,2.47176931682,0.572897963574,0.217377320126,-0.7902752837
-6.750000,-0.00527405911491,0.00737792901463,-0.00273014917436,1.38259481427,0.285331962412,-2.03729528826,2.46942850507,0.609743367087,0.165404586026,-0.775147953113
-6.500000,-0.00491274420316,0.00743673128033,-0.00322653085895,1.50656177378,0.183337077636,-1.94686297623,2.46406293006,0.646175250893,0.109165956204,-0.755341207097
-6.250000,-0.00452077822802,0.00746959755345,-0.00370358066248,1.62424422557,0.0880124403287,-1.84700713461,2.45993867531,0.678537666497,0.0540376329571,-0.732575299454
-6.000000,-0.00410062209038,0.0074807375005,-0.00415003442625,1.73520167259,0.000343224571348,-1.74389451105,2.46009548378,0.706470496236,0.00127085685187,-0.707741353088
-5.750000,-0.00365317739173,0.00746976916573,-0.004575527918,1.84382113587,-0.0938788500132,-1.63401592631,2.46455229742,0.73245717606,-0.0537708085963,-0.678686367464
-5.500000,-0.00317871152244,0.00743379807549,-0.00496704238941,1.93608402435,-0.197302743594,-1.51569057965,2.46334687669,0.755768696212,-0.110283416924,-0.645485279288
-5.250000,-0.00268513537955,0.00737111779394,-0.00533337320782,2.02725056381,-0.290399188032,-1.39714356344,2.47135985667,0.774478318566,-0.163325112039,-0.611153206527
-5.000000,-0.00216508624054,0.00728859848147,-0.00566561417113,2.10972026723,-0.385697725534,-1.27037763704,2.47889971203,0.790070404828,-0.216593148624,-0.573477256204
-4.750000,-0.00163027524594,0.00717826893117,-0.00596856202634,2.16666796703,-0.48747462067,-1.15149481703,2.48298207528,0.80176513438,-0.267168312268,-0.534596822112
-4.500000,-0.00108175225702,0.00704486117114,-0.00624136157965,2.21004613299,-0.584841247293,-1.02967492283,2.48361732069,0.809921934676,-0.315407381158,-0.494514553519
-4.250000,-0.000525252179444,0.00688584830752,-0.00648339948776,2.2350566236,-0.693766222962,-0.912331278385,2.48541241081,0.814916499987,-0.36348867487,-0.451427825117
-4.000000,3.57760547749e-005,0.00669797805966,-0.00669752721884,2.24682295841,-0.804323408494,-0.804648832232,2.4913834408,0.816496577445,-0.408182978876,-0.408313598569
-3.750000,0.000598159299759,0.00648368660327,-0.00688572390387,2.2357785118,-0.91748499973,-0.696723249167,2.48940241168,0.814889715963,-0.451785168236,-0.363104547727
-3.500000,0.00115366531068,0.00623923555979,-0.00704588884342,2.21592213614,-1.02875241197,-0.589019271649,2.48924181622,0.810101549323,-0.493377496769,-0.316724052554
-3.250000,0.00170612036783,0.00596931039729,-0.0071802335397,2.16944660295,-1.1500807319,-0.484151836069,2.48356650114,0.801686576024,-0.5349103435,-0.266776232524
-3.000000,0.00223838861215,0.00566419519384,-0.00728796476146,2.09972391946,-1.27099694101,-0.384044949516,2.47100187164,0.789759246596,-0.574351764067,-0.21540748253
-2.750000,0.00275598232756,0.00533381192679,-0.00737225601446,2.02499422757,-1.38891549385,-0.287439671054,2.46410085763,0.774635989745,-0.610822609017,-0.163813380728
-2.500000,0.00325088572594,0.00496973744692,-0.00743168459698,1.94087154734,-1.51489942024,-0.189725055398,2.46562243401,0.755234255561,-0.64634731667,-0.10888693889
-2.250000,0.00372641810123,0.00457636221666,-0.00746711854216,1.84871956641,-1.63053496426,-0.0957588788109,2.46588362429,0.733169633051,-0.67778686806,-0.0553827649912
-2.000000,0.00417524550914,0.00415446996479,-0.00747956403639,1.73830285698,-1.74323284282,-0.00250846510251,2.46181750253,0.707112667304,-0.707100894923,-1.17723810148e-005
-1.750000,0.00459556952972,0.00370474579525,-0.00746837277471,1.62592952532,-1.85017122654,0.0894682449348,2.46347931339,0.678249661633,-0.732803694068,0.0545540324345
-1.500000,0.0049882102718,0.00322938435152,-0.00743482991392,1.5045635533,-1.95178908227,0.186611385058,2.46685548948,0.645126940509,-0.755989845746,0.110862905237
